city,body_type,transmission,ownerno,brand,model,modelyear,price,insurance_validity,fuel_type,seats,kms_driven,mileage
Bangalore,Sedan,Automatic,1,BMW,BMW 3 Series GT,2016,33.95,Comprehensive,Diesel,5,40525.0,21.76
Bangalore,Sedan,Manual,1,Maruti,Maruti Ciaz,2015,6.5,Third Party insurance,Diesel,5,100000.0,26.21
Bangalore,Hatchback,Automatic,2,Honda,Honda Jazz,2016,5.37,Comprehensive,Petrol,5,44154.0,19.0
Bangalore,MUV,Manual,1,Renault,Renault Lodgy,2016,7.5,Third Party insurance,Diesel,7,70000.0,19.98
Bangalore,Sedan,Automatic,1,Skoda,Skoda Octavia,2018,17.9,Comprehensive,Petrol,5,79000.0,15.1
Bangalore,Hatchback,Manual,2,Tata,Tata Tiago,2017,4.68,Third Party insurance,Petrol,5,68039.0,23.84
Bangalore,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,4.2,Third Party insurance,Petrol,5,60000.0,18.5
Bangalore,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,4.2,Third Party insurance,Petrol,5,60000.0,18.5
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i20,2021,9.2,Third Party insurance,Petrol,5,10000.0,20.0
Bangalore,Sedan,Manual,1,Honda,Honda City,2013,5.33,Third Party,Petrol,5,49873.0,16.8
Bangalore,Hatchback,Automatic,3,Volkswagen,Volkswagen Polo,2013,8.5,Third Party insurance,Petrol,5,90000.0,17.2
Bangalore,Sedan,Manual,2,Skoda,Skoda Rapid,2017,7.51,Third Party insurance,Diesel,5,48960.0,21.13
Bangalore,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2014,3.88,Third Party insurance,Diesel,5,70000.0,24.0
Bangalore,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,4.9,Comprehensive,Petrol,5,68000.0,18.5
Bangalore,SUV,Manual,1,Mahindra,Mahindra KUV 100,2016,4.94,Third Party,Diesel,6,23017.0,25.32
Bangalore,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,5.25,Comprehensive,Diesel,5,83000.0,21.27
Bangalore,SUV,Automatic,2,BMW,BMW X3,2016,28.9,Comprehensive,Diesel,5,92000.0,16.55
Bangalore,Hatchback,Manual,1,Maruti,Maruti Wagon R,2018,5.5,Comprehensive,Petrol,5,62139.0,20.51
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i10,2013,3.65,Comprehensive,LPG,5,74000.0,19.2
Bangalore,Hatchback,Automatic,2,Renault,Renault KWID,2016,4.2,Comprehensive,Petrol,5,26500.0,24.04
Bangalore,Sedan,Automatic,1,Volvo,Volvo S60,2017,18.95,Comprehensive,Diesel,5,81716.0,27.03
Bangalore,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,59.9,Comprehensive,Diesel,5,24000.0,17.0
Bangalore,SUV,Automatic,1,Mahindra,Mahindra XUV300,2022,10.5,Third Party insurance,Petrol,5,10000.0,17.0
Bangalore,SUV,Automatic,1,MG,MG Hector Plus,2021,20.75,Comprehensive,Petrol,6,18000.0,16.56
Bangalore,Hatchback,Manual,1,Honda,Honda Brio,2013,3.94,Third Party,Petrol,5,38197.0,19.4
Bangalore,Hatchback,Automatic,2,Maruti,Maruti Baleno,2017,7.25,Comprehensive,Petrol,5,23000.0,19.56
Bangalore,Hatchback,Manual,1,Maruti,Maruti Alto K10,2013,2.4,Third Party insurance,Petrol,5,50000.0,20.92
Bangalore,SUV,Automatic,1,Renault,Renault Kiger,2022,8.35,Third Party insurance,Petrol,5,10000.0,19.03
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2019,6.95,Third Party insurance,Petrol,5,19000.0,18.9
Bangalore,SUV,Automatic,1,Kia,Kia Seltos,2020,17.25,Comprehensive,Petrol,5,14000.0,16.5
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai EON,2014,3.3,Comprehensive,Petrol,5,29268.0,21.1
Bangalore,Sedan,Automatic,1,Volkswagen,Volkswagen Vento,2019,9.9,Third Party insurance,Petrol,5,20000.0,18.19
Bangalore,Sedan,Manual,1,Toyota,Toyota Yaris,2018,7.5,Third Party insurance,Petrol,5,30000.0,17.1
Bangalore,Hatchback,Automatic,1,Honda,Honda Jazz,2018,7.55,Third Party insurance,Petrol,5,64374.0,19.0
Bangalore,SUV,Manual,1,MG,MG Hector,2021,17.5,Third Party insurance,Diesel,5,30000.0,17.41
Bangalore,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,20.83,Comprehensive,Petrol,6,7100.0,14.2
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i10,2010,2.71,Comprehensive,Petrol,5,43679.0,19.81
Bangalore,SUV,Automatic,1,Hyundai,Hyundai Creta,2018,12.8,Third Party insurance,Petrol,5,40000.0,14.8
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i20,2012,4.36,Third Party,Diesel,5,40562.0,22.54
Bangalore,SUV,Automatic,2,Hyundai,Hyundai Creta,2021,16.75,Comprehensive,Petrol,5,26500.0,18.9
Bangalore,SUV,Automatic,1,Hyundai,Hyundai Venue,2019,12.5,Third Party insurance,Petrol,5,20000.0,18.15
Bangalore,SUV,Automatic,1,Mahindra,Mahindra XUV500,2016,13.5,Third Party insurance,Diesel,7,58600.0,16.0
